id,designation,go_id
0,Cytoskeleton,GO:0005634
1,Cytoplasmic Vesicles,GO:0005730
2,Mitochondria,GO:0005777
3,Mitochondria,GO:0005737
4,Golgi Trans Face,GO:0005886
5,Cytoplasm,GO:0005739
6,ERGIC,GO:0005783
7,Endoplasmic Reticulum,GO:0005576
8,Golgi Trans Face,GO:0005768
9,Endosomes,GO:0005794
10,Nucleus,GO:0005813
11,Nucleolus,GO:0016023
12,Secretory Granule,GO:0008021
13,Melanosome,GO:0042470
14,Golgi Apparatus,GO:0005764
15,Golgi Apparatus,GO:0016323
16,Endosomes,GO:0005770
17,Nucleus,GO:0005856
18,Cytoplasmic Vesicles,GO:0005769
19,Endoplasmic Reticulum,GO:0005635
20,Nucleus,GO:0005923
21,Cytoplasm,GO:0000137
22,Plasma Membrane,GO:0005802
23,Medial-Golgi,GO:0005797
24,Cytoplasmic Vesicles,GO:0030141
25,Inner Mitochondrial Membrane,GO:0005743
26,Cytoplasm,GO:0016324
27,Plasma Membrane,GO:0008372
28,Endoplasmic Reticulum,GO:0005793
29,Cytoplasmic Vesicles,GO:0030133
30,Synaptic Vesicles,GO:0005803
31,Endoplasmic Reticulum,GO:0005811
32,Mitochondria,GO:0005741
